X-Men Origins: Wolverine	2009	6.6	Hugh Jackman*Liev Schreiber*Ryan Reynolds*Danny Huston
Mamma Mia! Here We Go Again	2018	6.8	Lily James*Amanda Seyfried*Meryl Streep*Cher
Isn't It Romantic	2019	5.9	Rebel Wilson*Liam Hemsworth*Adam Devine*Priyanka Chopra
Maharshi	2019	8.1	Mahesh Babu*Pooja Hegde*Allari Naresh*Rajsekhar Aningi
American Honey	2016	7.0	Sasha Lane*Shia LaBeouf*Riley Keough*McCaul Lombardi
Doctor Strange	2016	7.5	Benedict Cumberbatch*Chiwetel Ejiofor*Rachel McAdams*Benedict Wong
Fantastic Beasts: The Crimes of Grindelwald	2018	6.7	Eddie Redmayne*Katherine Waterston*Dan Fogler*Johnny Depp
The Lord of the Rings: The Fellowship of the Ring	2001	8.8	Elijah Wood*Ian McKellen*Orlando Bloom*Sean Bean
Yesterday	2019	7.0	Ana de Armas*Lily James*Kate McKinnon*James Corden
Ready Player One	2018	7.5	Tye Sheridan*Olivia Cooke*Ben Mendelsohn*Lena Waithe
Mortal Engines	2018	6.1	Hera Hilmar*Robert Sheehan*Hugo Weaving*Jihae
The Secret Life of Pets	2016	6.5	Louis C.K.*Eric Stonestreet*Kevin Hart*Lake Bell
Jurassic World: Fallen Kingdom	2018	6.2	Chris Pratt*Bryce Dallas Howard*Rafe Spall*Justice Smith
Vice	2018	7.2	Christian Bale*Amy Adams*Steve Carell*Sam Rockwell
A Quiet Place	2018	7.6	Emily Blunt*John Krasinski*Millicent Simmonds*Noah Jupe
Interstellar	2014	8.6	Matthew McConaughey*Anne Hathaway*Jessica Chastain*Mackenzie Foy
The Girl on the Train	2016	6.5	Emily Blunt*Haley Bennett*Rebecca Ferguson*Justin Theroux
Harry Potter and the Sorcerer's Stone	2001	7.6	Daniel Radcliffe*Rupert Grint*Richard Harris*Maggie Smith
Mission: Impossible - Fallout	2018	7.8	Tom Cruise*Henry Cavill*Ving Rhames*Simon Pegg
Love	2015	6.1	Aomi Muyock*Karl Glusman*Klara Kristin*Juan Saavedra
Bad Times at the El Royale	2018	7.1	Jeff Bridges*Cynthia Erivo*Dakota Johnson*Jon Hamm
Tombstone	1993	7.8	Kurt Russell*Val Kilmer*Sam Elliott*Bill Paxton
Under the Silver Lake	2018	6.4	Andrew Garfield*Riley Keough*Topher Grace*Callie Hernandez
Inception	2010	8.8	Leonardo DiCaprio*Joseph Gordon-Levitt*Ellen Page*Ken Watanabe
Charlie Says	2018	5.7	Hannah Murray*Suki Waterhouse*Sosie Bacon*Matt Smith
300	2006	7.7	Gerard Butler*Lena Headey*David Wenham*Dominic West
Titanic	1997	7.8	Leonardo DiCaprio*Kate Winslet*Billy Zane*Kathy Bates
Wonder Woman	2017	7.5	Gal Gadot*Chris Pine*Robin Wright*Lucy Davis
Austin Powers: International Man of Mystery	1997	7.0	Mike Myers*Elizabeth Hurley*Michael York*Mimi Rogers
Mad Max: Fury Road	2015	8.1	Tom Hardy*Charlize Theron*Nicholas Hoult*Zoë Kravitz
Batman v Superman: Dawn of Justice	2016	6.5	Ben Affleck*Henry Cavill*Amy Adams*Jesse Eisenberg
Aniara	2018	6.7	Emelie Jonsson*Bianca Cruzeiro*Arvin Kananian*Anneli Martini
Instant Family	2018	7.4	Mark Wahlberg*Rose Byrne*Isabela Moner*Gustavo Escobar
Passengers	2016	7.0	Jennifer Lawrence*Chris Pratt*Michael Sheen*Laurence Fishburne
The Souvenir	2019	7.2	Neil Young*Tosin Cole*Jack McMullen*Tilda Swinton
About Time	2013	7.8	Domhnall Gleeson*Rachel McAdams*Bill Nighy*Lydia Wilson
Ant-Man	2015	7.3	Paul Rudd*Michael Douglas*Corey Stoll*Evangeline Lilly
Olympus Has Fallen	2013	6.5	Gerard Butler*Aaron Eckhart*Morgan Freeman*Angela Bassett
Polar	2019	6.3	Mads Mikkelsen*Vanessa Hudgens*Katheryn Winnick*Fei Ren
Zombieland	2009	7.6	Jesse Eisenberg*Emma Stone*Woody Harrelson*Abigail Breslin
Me Before You	2016	7.4	Emilia Clarke*Sam Claflin*Janet McTeer*Charles Dance
Destroyer	2018	6.2	Nicole Kidman*Toby Kebbell*Tatiana Maslany*Sebastian Stan
The Goonies	1985	7.8	Sean Astin*Josh Brolin*Jeff Cohen*Corey Feldman
Star Wars: Episode VIII - The Last Jedi	2017	7.2	Daisy Ridley*John Boyega*Mark Hamill*Carrie Fisher
Overlord	2018	6.7	Jovan Adepo*Wyatt Russell*Mathilde Ollivier*Pilou Asbæk
Robin Hood	2018	5.3	Taron Egerton*Jamie Foxx*Ben Mendelsohn*Eve Hewson
Not Another Teen Movie	2001	5.7	Chyler Leigh*Jaime Pressly*Chris Evans*Eric Christian Olsen
